"size_var","slope","intercept","diff"
"FMSB",1.01127702088615,-4.24584978852087,0.0112770208861523
"FDB",1.18068415861875,-4.27257831947747,0.180684158618754
"TPB",1.26169932136514,-5.0564654403095,0.26169932136514
"TMSB",1.02805415432923,-4.483873861947,0.0280541543292308
"TDB",1.21438988563494,-5.0999732489568,0.214389885634943
"HPB",1.04598359325182,-3.93123666418961,0.0459835932518207
"HMSB",1.08111475327605,-4.83025264208261,0.0811147532760506
"HDB",0.982618700198854,-3.26082209115267,0.0173812998011459
"RPB",0.974579508391367,-4.22334972021013,0.0254204916086326
"RMSB",0.989084086902178,-4.51855003880929,0.0109159130978225
"RDB",0.93427882346334,-3.53629735199861,0.0657211765366601
"GM_all",1.04578442685343,-4.19447232772462,0.0457844268534262
"GM_pb",1.08018981827519,-4.31201850741521,0.0801898182751863
"GM_msb",1.01252206779919,-4.42161443397964,0.0125220677991915
"GM_db",1.06665307476847,-3.96762243649149,0.0666530747684728
"GM_fem",1.08971974762679,-4.2179187099202,0.0897197476267897
"GM_tib",1.1554895906841,-4.79727402659138,0.1554895906841
"GM_hum",1.02697255534676,-3.94411897211456,0.0269725553467637
"GM_rad",0.949709497540908,-3.98540751274892,0.0502905024590922
"GM_len",1.35516393217667,-4.30583487846494,0.355163932176669
